Ranking,Nombre,Usuario Instagram,Followers,Fake_Followers,Engagement_Rate,Estimated_Reach,Avg_Likes,Avg_Reel_Plays,Audience_Female,Top_Country,Top_City,Language,Category1,Category2,Category3,Category4,Age_13-17,Age_18-24,Age_25-34,Age_35-44,Age_45-64,Avg_Age,Theme 1,Theme 2,Theme 3,Theme 4
1,Daniella Chávez,@daniellachavezofficial,19.0,45.3,0.07,0.948,13.6,0.211,11.09,USA,Santiago,Spanish,Model,Lifestyle,Healthy Food,Business,1.98,21.74,38.28,19.76,7.11,31.32,Modelaje e Influencia,Lifestyle y Belleza,Lifestyle y Belleza,Modelaje e Influencia
2,Arturo Vidal,@kingarturo23oficial,20.1,27.04,0.32,1.3,63.7,1.1,17.41,Chile,Santiago,Spanish,Sports,Soccer,National Team,Fitness,4.63,31.32,34.08,10.45,2.09,27.36,Deportes,Deportes,Deportes,Deportes
3,Alexis Sánchez,@alexis_officia1,17.1,25.9,1.03,3.5,175.7,1.6,23.38,Chile,Santiago,Spanish,Sports,Soccer,Football Clubs,Charity,3.57,27.19,32.91,10.61,2.27,27.93,Deportes,Deportes,Deportes,Impacto Social
4,Claudio Bravo,@claudiobravo1,11.4,30.1,0.11,0.251,12.5,0.328,25.86,Chile,Santiago,Spanish,Sports,Soccer,Goalkeeping,Motivational,3.98,26.29,30.14,10.72,2.97,28.15,Deportes,Deportes,Deportes,Impacto Social
5,Nova,@strangehuman,5.2,18.27,4.13,4.3,213.7,2.8,81.03,Chile,Santiago,Spanish,Entertainment,Humor,Internet Culture,Viral Content,15.91,47.62,15.58,1.53,0.4,21.97,Entretenimiento Digital,Entretenimiento Digital,Entretenimiento Digital,Entretenimiento Digital
6,Mon Laferte,@monlaferte,5.1,18.15,3.74,3.8,189.3,1.1,68.42,Mexico,Santiago,Spanish,Music,Art,Activism,Latin Culture,3.03,24.52,30.62,8.56,1.7,27.68,Música y Arte,Música y Arte,Impacto Social,Música y Arte
7,Paloma Mami,@palomamami,4.3,19.31,4.24,3.7,180.5,2.6,56.76,Chile,Santiago,Spanish,Music,Urban Music,Reggaeton,Youth Culture,4.43,25.31,22.61,3.73,0.67,25.52,Música y Arte,Música y Arte,Música y Arte,Cultura Global
8,Simón Salas,@purowebeoo,4.0,12.27,1.05,0.849,42.3,0.82,53.14,Chile,Santiago,Spanish,Entertainment,Comedy,Satire,Chilean Culture,3.53,22.8,21.6,4.27,0.95,26.14,Entretenimiento Digital,Entretenimiento Digital,Entretenimiento Digital,Entretenimiento Digital
9,Pancho Saavedra,@franciscosaavedr,4.0,15.0,0.1,0.083,4.1,0.147,70.64,Chile,Santiago,Spanish,TV Personality,Travel,Adventure,Documentaries,2.13,16.02,27.03,16.68,8.73,32.58,Medios y Televisión,Lifestyle y Belleza,Lifestyle y Belleza,Medios y Televisión
10,Gary Medel,@gary_medel17,3.7,20.56,0.55,0.412,20.4,0.597,38.29,Chile,Santiago,Spanish,Sports,Soccer,Italian Football,Leadership,1.51,11.69,15.97,6.75,2.36,29.63,Deportes,Deportes,Deportes,Impacto Social
11,Denise Rosenthal,@deniserosenthal,3.7,22.15,1.83,1.3,66.8,1.6,53.56,Chile,Santiago,Spanish,Music,Activism,LGBTQ+,Performing Arts,2.42,17.85,23.25,7.91,2.11,28.47,Música y Arte,Impacto Social,Impacto Social,Música y Arte
12,Chispeza Chilensis,@chispezachilensis,3.1,16.79,1.11,0.698,34.8,1.0,43.45,Chile,Santiago,Spanish,Entertainment,Comedy,Memes,Pop Culture,3.14,21.01,16.65,2.24,0.4,25.08,Entretenimiento Digital,Entretenimiento Digital,Entretenimiento Digital,Música y Arte
13,Gala Caldirola,@galadrielcaldirola,3.0,21.89,1.06,0.716,35.7,0.405,66.12,Chile,Santiago,Spanish,Fashion,Lifestyle,Beauty,Influencer,3.14,22.19,28.61,9.7,2.48,28.36,Lifestyle y Belleza,Lifestyle y Belleza,Lifestyle y Belleza,Modelaje e Influencia
14,Pailita,@pailita.k7k,2.9,15.1,7.19,4.2,207.2,1.9,47.08,Chile,Santiago,Spanish,Music,Urban Music,Trap,Street Culture,3.18,22.24,19.26,2.26,0.15,25.06,Música y Arte,Música y Arte,Música y Arte,Cultura Global
15,Cris MJ,@cris_emejota,4.9,19.0,8.4,8.2,408.1,5.1,39.33,Chile,Santiago,Spanish,Music,Urban Music,Viral Content,Collaborations,3.78,20.81,13.65,1.04,0.06,23.91,Música y Arte,Música y Arte,Entretenimiento Digital,Cultura Global
16,La Roja,@laroja,2.4,20.14,0.35,0.17,8.4,0.23,29.9,Chile,Santiago,Spanish,Sports,National Team,Football,Fan Content,1.8,9.87,11.58,5.03,1.6,28.84,Deportes,Deportes,Deportes,Medios y Televisión
17,Elyanna,@elyanna,2.3,25.0,2.73,1.1,55.9,2.2,71.45,Egypt,Cairo,English/Arabic,Music,World Music,Palestinian Heritage,Cultural Fusion,6.74,33.41,28.9,2.13,0.27,24.55,Música y Arte,Música y Arte,Cultura Global,Cultura Global
18,María José López,@cotelopezm,2.5,36.57,0.73,0.373,18.4,0.712,66.37,Chile,Santiago,Spanish,TV Personality,Fashion,Beauty,Family Content,2.15,16.42,28.98,14.49,4.29,30.72,Medios y Televisión,Lifestyle y Belleza,Lifestyle y Belleza,Lifestyle y Belleza
19,Benjamín Vicuña,@benjaminvicuna.ok,3.1,15.31,0.47,0.294,14.3,1.6,89.43,Argentina,Buenos Aires,Spanish,Entertainment,Acting,Drama,Argentine Market,2.23,22.73,40.59,18.14,5.7,30.6,Entretenimiento Digital,Medios y Televisión,Medios y Televisión,Cultura Global
20,El Mago Palo,@elmeopalo,2.1,12.63,0.65,0.272,13.5,0.4,46.94,Chile,Santiago,Spanish,Entertainment,Magic,Viral Tricks,Family Entertainment,2.5,20.5,25.0,10.0,2.0,28.49,Entretenimiento Digital,Otros,Entretenimiento Digital,Lifestyle y Belleza
